num,id_me,id_Hafro,id_marina,species,morph,length_cm,weight_g,sex,mat,age,location
1,PC3903,,2001,B,SB,17,56.35,F,5,5,Olafsdrattur
2,PC3904,,2002,B,SB,12.9,28.22,F,5,4,Olafsdrattur
3,PC3905,,2003,B,SB,14.9,30.98,F,2,5,Olafsdrattur
4,PC3906,,2004,B,SB,13.7,28,F,2,7,Olafsdrattur
5,PC3907,,2005,B,SB,15,33.2,F,2,5,Olafsdrattur
6,PC3908,,2006,B,SB,15.2,35.16,F,2,6,Olafsdrattur
7,PC3909,,2007,B,SB,13.5,22.81,M,5,4,Olafsdrattur
8,PC3910,,2008,B,SB,13,24.5,M,4,6,Olafsdrattur
9,PC3911,,2009,B,SB,14.2,27.55,F,7/2,4,Olafsdrattur
10,PC3912,,2010,B,SB,16.2,41.6,F,2,7,Olafsdrattur
11,PC3913,,2011,B,SB,12.9,24.26,M,6,4,Olafsdrattur
12,PC3914,,2012,B,SB,15.9,45.37,F,5,NA,Olafsdrattur
13,PC3915,,2013,B,SB,13.7,26.47,M,6,5,Olafsdrattur
14,PC3916,,2014,B,SB,13.9,27.19,M,6,4,Olafsdrattur
15,PC3917,,2015,B,SB,14.7,35.24,M,6,4,Olafsdrattur
16,PC3918,,2016,B,SB,14.8,35.5,M,5/6,5,Olafsdrattur
17,PC3919,,2017,B,SB,14.5,31.49,F,7/2,5,Olafsdrattur
18,PC3920,,2018,B,SB,15.8,40.13,F,6,7,Olafsdrattur
19,PC3921,,2019,B,SB,11.2,16,F,1/2,3,Olafsdrattur
20,PC3922,,2020,B,SB,14.8,21.2,M,6,4,Olafsdrattur
21,PC3923,,2021,B,SB,13.9,27.7,M,6,4,Olafsdrattur
22,PC3924,,2022,B,SB,13.6,26.44,M,6,6,Olafsdrattur
23,PC3925,,2023,B,SB,14.8,31.05,F,7/2,5,Olafsdrattur
24,PC3926,,2024,B,SB,13.7,25.66,M,7,5,Olafsdrattur
25,PC3927,,2025,B,SB,13.3,28.1,M,5,6,Olafsdrattur
26,PC3928,,2026,B,SB,12,18.5,F,1/2,4,Olafsdrattur
27,PC3929,,2027,B,SB,13.3,26.92,M,5,5,Olafsdrattur
28,PC3930,,2028,B,SB,13.28,27.2,F,7/2,4,Olafsdrattur
29,PC3931,,2029,B,SB,11.8,16.33,F,2,5,Olafsdrattur
30,PC3932,,2030,B,SB,11.5,15.13,M,5,5,Olafsdrattur
31,PC3933,,2031,B,SB,10.8,13.32,M,6,NA,Olafsdrattur
32,PC3934,,2032,B,SB,11.1,14.32,M,5,4,Olafsdrattur
33,PC3935,,2033,B,SB,10.4,11.87,M,1/2,4,Olafsdrattur
34,PC4301,,2147,B,PI,25,181.84,M,6,8,Mjoanes
35,PC4302,,2162,B,PI,24.9,161.8,M,6,7,Mjoanes
36,PC4303,,2169,B,PI,23.7,141.58,M,6,NA,Mjoanes
37,PC4305,,2186,B,LB,37.1,543.07,M,7,6,Mjoanes
38,PC4306,,2187,B,LB,34.2,550,M,7,6,Mjoanes
39,PC4307,,2188,B,LB,50,1000,M,7,8,Mjoanes
40,PC4200,,,B,PL,12.3,22.18,M,6,5,Svinnanes
41,PC4201,,,B,PL,14,29.18,M,4,5,Svinnanes
42,PC4202,,,B,PL,13.7,31.74,M,5,5,Svinnanes
43,PC4203,,,B,PL,15,38.61,M,7,5,Svinnanes
44,PC4204,,,B,PL,13.4,26.01,M,5,5,Svinnanes
45,PC4205,,,B,PL,13.6,29.49,M,4,4,Svinnanes
46,PC4206,,,B,PL,13.3,25.06,M,6,4,Svinnanes
47,PC4207,,,B,PL,13.6,29.32,M,6,4,Svinnanes
48,PC4208,,,B,PL,14.7,37.35,M,6,4,Svinnanes
49,PC4209,,,B,PL,14,30.39,M,6,NA,Svinnanes
50,PC4210,,,B,PL,17,52.56,M,6,5,Svinnanes
51,PC4211,,,B,PL,15.6,39.25,M,5,4,Svinnanes
52,PC4212,,,B,PL,13.4,25.34,M,5,5,Svinnanes
53,PC4213,,,B,PL,14.4,33.98,M,6,4,Svinnanes
54,PC4214,,,B,PL,12,20.83,M,6,5,Svinnanes
55,PC4215,,,B,PL,17,51.2,M,6,5,Svinnanes
56,PC4216,,,B,PL,16.1,48.79,M,6,4,Svinnanes
57,PC4217,,,B,PL,15.2,42.11,M,5,5,Svinnanes
58,PC4218,,,B,PL,17.5,61.78,M,6,5,Svinnanes
59,PC4219,,2034,B,SB,10.5,20.71,M,6,4,Mjoanes
60,PC4220,,2035,B,SB,14.2,21.42,M,6,3,Mjoanes
61,PC4221,,2037,B,SB,20.8,102.75,F,4,6,Mjoanes
62,PC4222,,2038,B,SB,14.1,32.86,M,6,8,Mjoanes
63,PC4223,,2039,B,SB,14.3,31.8,F,7/6?,8,Mjoanes
64,PC4224,,2040,B,SB,14.5,34.05,M,6,5,Mjoanes
65,PC4225,,2041,B,SB,16,44.77,F,6,4,Mjoanes
66,PC4226,,2042,B,SB,11.9,14.48,F,7,5,Mjoanes
67,PC4227,,2043,B,SB,13.6,27.99,M,6,5,Mjoanes
68,PC4228,,2044,B,SB,20.2,103.34,F,7?,6,Mjoanes
69,PC4229,,2045,B,SB,17,71.77,F,5,8,Mjoanes
70,PC4230,,2046,B,SB,14.2,32.22,F,5,6,Mjoanes
71,PC4231,,2047,B,PL,14.3,27.2,M,6,6,Mjoanes
72,PC4232,,2048,B,SB,24.2,147.58,F,7,6,Mjoanes
73,PC4233,,2049,B,SB,11,15.55,M,6,12,Mjoanes
74,PC4235,,2036,B,SB,13.4,24.9,F,7/6?,5,Mjoanes
75,PC4236,,2051,B,LB,50,1430,F,7,8,Mjoanes
76,PC4237,,2052,B,PI,43.2,980,F,7,12,Mjoanes
77,PC4238,,2053,B,PI,50,1795,M,6,8,Mjoanes
78,PC4239,,2054,B,LB,43.4,995,M,7,8,Mjoanes
79,PC4240,,2055,B,PI,41,780,F,7,9,Mjoanes
80,PC4241,,2056,B,PI,35.6,490,F,7,12,Mjoanes
81,PC4242,,2057,B,PI,33,425,M,5,9,Mjoanes
82,PC4243,,2058,B,PI,36,565,M,6,12,Mjoanes
83,PC4244,,2059,B,LB,32,345,M,5,4,Mjoanes
84,PC4245,,2060,B,PI,27.2,245,M,5,12,Mjoanes
85,PC4246,,2061,B,SB,29.7,285,F,7?,5,Mjoanes
86,PC4247,,2062,B,PL,29.9,270,F,7,7,Mjoanes
87,PC4248,,2063,B,PL,26,180,F,7,7,Mjoanes
88,PC4249,,2064,B,PI,47,1150,F,7,11,Mjoanes
89,PC4250,,2065,B,PI,45,905,F,7,7,Mjoanes
90,PC4251,,2066,B,PI,42.9,945,F,7,8,Mjoanes
91,PC4252,,2067,B,PI,32.8,430,M,6,7,Mjoanes
92,PC4253,,2068,B,PI,31,360,F,6,7,Mjoanes
93,PC4254,,2069,B,PI,31.5,340,F,7,10,Mjoanes
94,PC4255,,2070,B,PI,34.4,375,F,7,7,Mjoanes
95,PC4256,,2071,B,PI,28.9,265,M,6,8,Mjoanes
96,PC4257,,2072,B,PI,29.6,265,M,5,7,Mjoanes
97,PC4258,,2073,B,PI,30,240,F,7,8,Mjoanes
98,PC4259,,2074,B,SB,29.4,265,F,7,5,Mjoanes
99,PC4260,,2075,B,PL,24,160,M,3,6,Mjoanes
100,PC4261,,2076,B,PL,25.8,155,F,7,7,Mjoanes
101,PC4263,,2078,B,PL,26.4,185,F,7,8,Mjoanes
102,PC4264,,2079,B,PL,22,125,M,5,6,Mjoanes
103,PC4266,,2081,B,PL,25,160,F,7,7,Mjoanes
104,PC4267,,2082,B,PL,27.1,200,F,7,11,Mjoanes
105,PC4268,,2083,B,SB,22,98.33,F,2,6,Mjoanes
106,PC4269,,2084,B,SB,22.5,113.25,M,6,8,Mjoanes
107,PC4270,,2085,B,SB,21.9,111.02,F,7,7,Mjoanes
108,PC4271,,2086,B,SB,20.2,82.76,F,2,5,Mjoanes
