num,id_me,id_Hafro,id_marina,species,morph,length_cm,weight_g,sex,mat,age,location,old_image_name,new_image_name,teeth_den,teeth_max,teeth_pre,teeth_pal,teeth_vo,teeth_glos
1,PC3903,,2001,B,SB,17,56.35,F,5,5,Olafsdrattur,GOJfall20_mand_PC3903_02.JPG,CFAC_20_MAN_PC3903_02.JPG,11.75,21.25,9,17.5,5.5,10.5
2,PC3904,,2002,B,SB,12.9,28.22,F,5,4,Olafsdrattur,GOJfall20_mand_PC3904_02.JPG,CFAC_20_MAN_PC3904_02.JPG,11,19.25,8.5,15.25,5,12.5
3,PC3905,,2003,B,SB,14.9,30.98,F,2,5,Olafsdrattur,GOJfall20_mand_PC3905_02.JPG,CFAC_20_MAN_PC3905_02.JPG,12.75,20.5,7.75,18,4,11.5
4,PC3906,,2004,B,SB,13.7,28,F,2,7,Olafsdrattur,GOJfall20_mand_PC3906_02.JPG,CFAC_20_MAN_PC3906_02.JPG,14.5,24.25,8.25,14,5,13.5
5,PC3907,,2005,B,SB,15,33.2,F,2,5,Olafsdrattur,GOJfall20_mand_PC3907_02.JPG,CFAC_20_MAN_PC3907_02.JPG,12.75,22.75,8.25,15.5,1,12
6,PC3908,,2006,B,SB,15.2,35.16,F,2,6,Olafsdrattur,GOJfall20_mand_PC3908_02.JPG,CFAC_20_MAN_PC3908_02.JPG,13.25,17.5,6.75,15,4.5,9.5
7,PC3909,,2007,B,SB,13.5,22.81,M,5,4,Olafsdrattur,GOJfall20_mand_PC3909_03.JPG,CFAC_20_MAN_PC3909_02.JPG,13.25,20.5,8,16.5,6,12
8,PC3910,,2008,B,SB,13,24.5,M,4,6,Olafsdrattur,GOJfall20_mand_PC3910_02.JPG,CFAC_20_MAN_PC3910_02.JPG,13,24,7.25,16.75,4,13
9,PC3911,,2009,B,SB,14.2,27.55,F,7/2?,4,Olafsdrattur,GOJfall20_mand_PC3911_02.JPG,CFAC_20_MAN_PC3911_02.JPG,13,18.75,7.5,15,3,12
10,PC3912,,2010,B,SB,16.2,41.6,F,2,7,Olafsdrattur,GOJfall20_mand_PC3912_02.JPG,CFAC_20_MAN_PC3912_02.JPG,14,19,8,17,3.5,15
11,PC3913,,2011,B,SB,12.9,24.26,M,6,4,Olafsdrattur,GOJfall20_mand_PC3913_02.JPG,CFAC_20_MAN_PC3913_02.JPG,11,18.75,7,16.75,5,8
12,PC3914,,2012,B,SB,15.9,45.37,F,5,NA,Olafsdrattur,GOJfall20_mand_PC3914_02.JPG,CFAC_20_MAN_PC3914_02.JPG,13.75,21.25,8.25,17.5,6,12
13,PC3915,,2013,B,SB,13.7,26.47,M,6,5,Olafsdrattur,GOJfall20_mand_PC3915_02.JPG,CFAC_20_MAN_PC3915_02.JPG,14.25,20.75,8,16,5,12.5
14,PC3916,,2014,B,SB,13.9,27.19,M,6,4,Olafsdrattur,GOJfall20_mand_PC3916_02.JPG,CFAC_20_MAN_PC3916_02.JPG,13,18.5,6.5,17.25,3,10.5
15,PC3917,,2015,B,SB,14.7,35.24,M,6,4,Olafsdrattur,GOJfall20_mand_PC3917_02.JPG,CFAC_20_MAN_PC3917_02.JPG,14,20.25,8,16.5,3,12
16,PC3918,,2016,B,SB,14.8,35.5,M,5/6?,5,Olafsdrattur,GOJfall20_mand_PC3918_02.JPG,CFAC_20_MAN_PC3918_02.JPG,13.5,19.75,8.25,15.5,4.5,10
17,PC3919,,2017,B,SB,14.5,31.49,F,7/2?,5,Olafsdrattur,GOJfall20_mand_PC3919_02.JPG,CFAC_20_MAN_PC3919_02.JPG,12,18,6,16,4.5,NA
18,PC3920,,2018,B,SB,15.8,40.13,F,6,7,Olafsdrattur,GOJfall20_mand_PC3920_02.JPG,CFAC_20_MAN_PC3920_02.JPG,13.25,19,9.5,14.25,3,10.5
19,PC3921,,2019,B,SB,11.2,16,F,1/2?,3,Olafsdrattur,GOJfall20_mand_PC3921_02.JPG,CFAC_20_MAN_PC3921_02.JPG,11.25,18.75,7.25,12,NA,10.5
20,PC3922,,2020,B,SB,14.8,21.2,M,6,4,Olafsdrattur,GOJfall20_mand_PC3922_02.JPG,CFAC_20_MAN_PC3922_02.JPG,13.25,19,8,16.5,6.5,12
21,PC3923,,2021,B,SB,13.9,27.7,M,6,4,Olafsdrattur,GOJfall20_mand_PC3923_02.JPG,CFAC_20_MAN_PC3923_02.JPG,11.75,18.25,7.25,15.25,2,14
22,PC3924,,2022,B,SB,13.6,26.44,M,6,6,Olafsdrattur,GOJfall20_mand_PC3924_02.JPG,CFAC_20_MAN_PC3924_02.JPG,10.75,19.5,7.75,15.75,2.5,11
23,PC3925,,2023,B,SB,14.8,31.05,F,7/2?,5,Olafsdrattur,GOJfall20_mand_PC3925_02.JPG,CFAC_20_MAN_PC3925_02.JPG,12.25,15.5,8,15,5,12
24,PC3926,,2024,B,SB,13.7,25.66,M,7,5,Olafsdrattur,GOJfall20_mand_PC3926_02.JPG,CFAC_20_MAN_PC3926_02.JPG,13.5,19.25,7.75,16.5,3,10.5
25,PC3927,,2025,B,SB,13.3,28.1,M,5,6,Olafsdrattur,GOJfall20_mand_PC3927_02.JPG,CFAC_20_MAN_PC3927_02.JPG,12.5,18.5,7,16.25,2,10
26,PC3928,,2026,B,SB,12,18.5,F,1/2?,4,Olafsdrattur,GOJfall20_mand_PC3928_02.JPG,CFAC_20_MAN_PC3928_02.JPG,12.5,21.5,7.5,13.25,4,NA
27,PC3929,,2027,B,SB,13.3,26.92,M,5,5,Olafsdrattur,GOJfall20_mand_PC3929_02.JPG,CFAC_20_MAN_PC3929_02.JPG,12.5,20.5,9.25,17,7,12
28,PC3930,,2028,B,SB,13.28,27.2,F,7/2?,4,Olafsdrattur,GOJfall20_mand_PC3930_02.JPG,CFAC_20_MAN_PC3930_02.JPG,12,18.5,7,15,3.5,12
29,PC3931,,2029,B,SB,11.8,16.33,F,2,5,Olafsdrattur,GOJfall20_mand_PC3931_02.JPG,CFAC_20_MAN_PC3931_02.JPG,12.25,19.25,6.5,13.75,3,11.5
