num,id_me,id_Hafró,id_marina,species,morph,length_cm,weight_g,sex,mat,age,location,old_image_name,new_image_name
1,PC3903,,2001,B,SB,17,56.35,F,5,5,Olafsdrattur,GOJfall20_body_PC3903.JPG,CFAC_20_EXT_PC3903_01.JPG
2,PC3904,,2002,B,SB,12.9,28.22,F,5,4,Olafsdrattur,GOJfall20_body_PC3904.JPG,CFAC_20_EXT_PC3904_01.JPG
3,PC3905,,2003,B,SB,14.9,30.98,F,2,5,Olafsdrattur,GOJfall20_body_PC3905.JPG,CFAC_20_EXT_PC3905_01.JPG
4,PC3906,,2004,B,SB,13.7,28,F,2,7,Olafsdrattur,GOJfall20_body_PC3906.JPG,CFAC_20_EXT_PC3906_01.JPG
5,PC3907,,2005,B,SB,15,33.2,F,2,5,Olafsdrattur,GOJfall20_body_PC3907.JPG,CFAC_20_EXT_PC3907_01.JPG
6,PC3908,,2006,B,SB,15.2,35.16,F,2,6,Olafsdrattur,GOJfall20_body_PC3908.JPG,CFAC_20_EXT_PC3908_01.JPG
7,PC3909,,2007,B,SB,13.5,22.81,M,5,4,Olafsdrattur,GOJfall20_body_PC3909.JPG,CFAC_20_EXT_PC3909_01.JPG
8,PC3910,,2008,B,SB,13,24.5,M,4,6,Olafsdrattur,GOJfall20_body_PC3910.JPG,CFAC_20_EXT_PC3910_01.JPG
9,PC3911,,2009,B,SB,14.2,27.55,F,7/2?,4,Olafsdrattur,GOJfall20_body_PC3911.JPG,CFAC_20_EXT_PC3911_01.JPG
10,PC3912,,2010,B,SB,16.2,41.6,F,2,7,Olafsdrattur,GOJfall20_body_PC3912.JPG,CFAC_20_EXT_PC3912_01.JPG
11,PC3913,,2011,B,SB,12.9,24.26,M,6,4,Olafsdrattur,GOJfall20_body_PC3913.JPG,CFAC_20_EXT_PC3913_01.JPG
12,PC3914,,2012,B,SB,15.9,45.37,F,5,NA,Olafsdrattur,GOJfall20_body_PC3914.JPG,CFAC_20_EXT_PC3914_01.JPG
13,PC3915,,2013,B,SB,13.7,26.47,M,6,5,Olafsdrattur,GOJfall20_body_PC3915.JPG,CFAC_20_EXT_PC3915_01.JPG
14,PC3916,,2014,B,SB,13.9,27.19,M,6,4,Olafsdrattur,GOJfall20_body_PC3916.JPG,CFAC_20_EXT_PC3916_01.JPG
15,PC3917,,2015,B,SB,14.7,35.24,M,6,4,Olafsdrattur,GOJfall20_body_PC3917.JPG,CFAC_20_EXT_PC3917_01.JPG
16,PC3918,,2016,B,SB,14.8,35.5,M,5/6?,5,Olafsdrattur,GOJfall20_body_PC3918.JPG,CFAC_20_EXT_PC3918_01.JPG
17,PC3919,,2017,B,SB,14.5,31.49,F,7/2?,5,Olafsdrattur,GOJfall20_body_PC3919.JPG,CFAC_20_EXT_PC3919_01.JPG
18,PC3920,,2018,B,SB,15.8,40.13,F,6,7,Olafsdrattur,GOJfall20_body_PC3920.JPG,CFAC_20_EXT_PC3920_01.JPG
19,PC3921,,2019,B,SB,11.2,16,F,1/2?,3,Olafsdrattur,GOJfall20_body_PC3921.JPG,CFAC_20_EXT_PC3921_01.JPG
20,PC3922,,2020,B,SB,14.8,21.2,M,6,4,Olafsdrattur,GOJfall20_body_PC3922.JPG,CFAC_20_EXT_PC3922_01.JPG
21,PC3923,,2021,B,SB,13.9,27.7,M,6,4,Olafsdrattur,GOJfall20_body_PC3923.JPG,CFAC_20_EXT_PC3923_01.JPG
22,PC3924,,2022,B,SB,13.6,26.44,M,6,6,Olafsdrattur,GOJfall20_body_PC3924.JPG,CFAC_20_EXT_PC3924_01.JPG
23,PC3925,,2023,B,SB,14.8,31.05,F,7/2?,5,Olafsdrattur,GOJfall20_body_PC3925.JPG,CFAC_20_EXT_PC3925_01.JPG
24,PC3926,,2024,B,SB,13.7,25.66,M,7,5,Olafsdrattur,GOJfall20_body_PC3926.JPG,CFAC_20_EXT_PC3926_01.JPG
25,PC3927,,2025,B,SB,13.3,28.1,M,5,6,Olafsdrattur,GOJfall20_body_PC3927.JPG,CFAC_20_EXT_PC3927_01.JPG
26,PC3928,,2026,B,SB,12,18.5,F,1/2?,4,Olafsdrattur,GOJfall20_body_PC3928.JPG,CFAC_20_EXT_PC3928_01.JPG
27,PC3929,,2027,B,SB,13.3,26.92,M,5,5,Olafsdrattur,GOJfall20_body_PC3929.JPG,CFAC_20_EXT_PC3929_01.JPG
28,PC3930,,2028,B,SB,13.28,27.2,F,7/2?,4,Olafsdrattur,GOJfall20_body_PC3930.JPG,CFAC_20_EXT_PC3930_01.JPG
29,PC3931,,2029,B,SB,11.8,16.33,F,2,5,Olafsdrattur,GOJfall20_body_PC3931.JPG,CFAC_20_EXT_PC3931_01.JPG
30,PC3932,,2030,B,SB,11.5,15.13,M,5,5,Olafsdrattur,GOJfall20_body_PC3932.JPG,CFAC_20_EXT_PC3932_01.JPG
31,PC3933,,2031,B,SB,10.8,13.32,M,6,NA,Olafsdrattur,GOJfall20_body_PC3933.JPG,CFAC_20_EXT_PC3933_01.JPG
32,PC3934,,2032,B,SB,11.1,14.32,M,5,4,Olafsdrattur,GOJfall20_body_PC3934.JPG,CFAC_20_EXT_PC3934_01.JPG
33,PC3935,,2033,B,SB,10.4,11.87,M,1/2?,4,Olafsdrattur,GOJfall20_body_PC3935.JPG,CFAC_20_EXT_PC3935_01.JPG
34,PC4301,,2147,B,PI,25,181.84,M,6,8,Mjoanes,GOJfall20_body_PC4301.JPG,CFAC_20_EXT_PC4301_01.JPG
35,PC4302,,2162,B,PI,24.9,161.8,M,6,7,Mjoanes,GOJfall20_body_PC4302.JPG,CFAC_20_EXT_PC4302_01.JPG
36,PC4303,,2169,B,PI,23.7,141.58,M,6,NA,Mjoanes,GOJfall20_body_PC4303.JPG,CFAC_20_EXT_PC4303_01.JPG
37,PC4305,,2186,B,LB,37.1,543.07,M,7,6,Mjoanes,GOJfall20_body_PC4305.JPG,CFAC_20_EXT_PC4305_01.JPG
